targetId,comparatorId,outcomeId,outcomeName,type
334,548,378256,Abnormal reflex,outcome
334,548,440424,Aphasia,outcome
334,548,439237,Assault,outcome
334,548,378424,Astigmatism,outcome
334,548,261880,Atelectasis,outcome
334,548,134118,Atrophic condition of skin,outcome
334,548,4224118,Bladder dysfunction,outcome
334,548,80509,Bone cyst,outcome
334,548,434626,Borderline personality disorder,outcome
334,548,438407,Bulimia nervosa,outcome
334,548,134765,Cachexia,outcome
334,548,4172458,Candidiasis of skin,outcome
334,548,436740,Cervical incompetence,outcome
334,548,381581,Chalazion,outcome
334,548,4307254,Closed fracture,outcome
334,548,4047787,Colles' fracture,outcome
334,548,198075,Condyloma acuminatum,outcome
334,548,73302,Curvature of spine,outcome
334,548,4242416,Cutis laxa,outcome
334,548,433163,Deficiency of macronutrients,outcome
334,548,4047269,Deformity of foot,outcome
334,548,133228,Dental caries,outcome
334,548,4147672,Disease due to Papilloma virus,outcome
334,548,4153380,Disorder of carotid artery,outcome
334,548,4140510,Disorder of lymphatic vessel,outcome
334,548,433440,Dysthymia,outcome
334,548,376132,Ectropion,outcome
334,548,440695,Encopresis,outcome
334,548,438872,Excessive eating - polyphagia,outcome
334,548,78804,Fibrocystic disease of breast,outcome
334,548,4131595,Fracture of radius,outcome
334,548,74855,Genital herpes simplex,outcome
334,548,441788,Human papilloma virus infection,outcome
334,548,76737,Hydrocele,outcome
334,548,4029582,Hyperandrogenization syndrome,outcome
334,548,195212,Hypercortisolism,outcome
334,548,438134,Hypersomnia,outcome
334,548,140362,Hypoparathyroidism,outcome
334,548,4322737,Infection of tooth,outcome
334,548,4207688,Infectious enteritis,outcome
334,548,79072,Inflammatory disorder of breast,outcome
334,548,139099,Ingrowing nail,outcome
334,548,4288544,Inguinal hernia,outcome
334,548,444191,Injury of face,outcome
334,548,444130,Injury of foot,outcome
334,548,134222,Injury of forearm,outcome
334,548,4029966,Intracranial aneurysm,outcome
334,548,437409,Intracranial injury,outcome
334,548,4297984,Local infection of wound,outcome
334,548,4018050,Localized infection,outcome
334,548,439840,Lymphangitis,outcome
334,548,4163232,Mastitis,outcome
334,548,440389,Mental retardation,outcome
334,548,436100,Narcolepsy,outcome
334,548,4262178,Neurogenic dysfunction of the urinary bladder,outcome
334,548,193874,Nocturnal enuresis,outcome
334,548,4171549,Nodular goiter,outcome
334,548,442274,Oligomenorrhea,outcome
334,548,4215978,Onychomycosis,outcome
334,548,4171915,Orchitis,outcome
334,548,380731,Otitis externa,outcome
334,548,378160,Otorrhea,outcome
334,548,192606,Paraplegia,outcome
334,548,253796,Pneumothorax,outcome
334,548,195501,Polycystic ovaries,outcome
334,548,4153877,Post-traumatic wound infection,outcome
334,548,434319,Premature ejaculation,outcome
334,548,373478,Presbyopia,outcome
334,548,199876,Prolapse of female genital organs,outcome
334,548,4295888,Prolapse of intestine,outcome
334,548,194997,Prostatitis,outcome
334,548,4146239,Pruritus of genital organs,outcome
334,548,4285569,Pupillary disorder,outcome
334,548,81336,Rectal prolapse,outcome
334,548,380395,Retinal dystrophy,outcome
334,548,141825,Simple goiter,outcome
334,548,137054,Skin striae,outcome
334,548,434630,Sleep-wake schedule disorder,outcome
334,548,4195698,Tenosynovitis,outcome
334,548,4339088,Testicular mass,outcome
334,548,133141,Tinea pedis,outcome
334,548,440814,Torticollis,outcome
334,548,435140,Toxic effect of alcohol,outcome
334,548,4270490,Tracheitis,outcome
334,548,4028970,Tracheobronchitis,outcome
334,548,193326,Urge incontinence of urine,outcome
334,548,4092565,Uterine prolapse,outcome
334,548,140641,Verruca vulgaris,outcome
334,548,197036,Vesicoureteric reflux,outcome
334,548,261326,Viral pneumonia,outcome
